iter	Passed	Remaining
0	22	6630
1	44	6680
2	78	7790
3	109	8112
4	146	8632
5	178	8724
6	226	9476
7	262	9570
8	298	9649
9	360	10459
10	394	10356
11	445	10695
12	475	10506
13	508	10391
14	538	10230
15	569	10110
16	592	9866
17	624	9781
18	652	9642
19	676	9471
20	701	9323
21	734	9283
22	758	9132
23	784	9022
24	816	8985
25	846	8918
26	872	8818
27	897	8720
28	923	8633
29	948	8533
30	978	8493
31	1006	8433
32	1031	8346
33	1059	8290
34	1077	8158
35	1101	8080
36	1129	8029
37	1158	7987
38	1185	7931
39	1212	7881
40	1240	7835
41	1270	7805
42	1296	7747
43	1322	7695
44	1346	7631
45	1375	7594
46	1399	7534
47	1428	7502
48	1455	7457
49	1484	7420
50	1509	7370
51	1541	7349
52	1569	7316
53	1593	7258
54	1619	7215
55	1644	7163
56	1668	7111
57	1692	7060
58	1715	7006
59	1737	6948
60	1761	6902
61	1783	6845
62	1804	6788
63	1829	6744
64	1851	6694
65	1895	6721
66	1926	6700
67	1950	6655
68	1976	6616
69	2003	6581
70	2028	6543
71	2050	6492
72	2074	6451
73	2097	6407
