arrival_key,date_key,transport_key,geography_key,origin_geography_key,destination_geography_key,market_origin_key,flight_number,vessel_name,passenger_count,arrival_datetime,arrival_date,arrival_time,arrival_hour,arrival_day_part,departure_datetime,departure_date,departure_time,departure_hour,departure_day_part,days_stay,flow_type,passenger_type,is_repeat_visit,origin_airport_code,origin_city,origin_country_code,destination_airport_code,destination_city,destination_country_code,is_direct_flight,number_of_connections,total_journey_hours,is_peak_season,is_weekend,is_holiday,data_quality_flag,granularity_level,source_confidence,dq_score,data_completeness_pct,imputation_method,observation_count,suppressed,computation_method,source_system,source_file,load_timestamp,created_timestamp
597115,20250925,,,,,234,,,3,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:21.870269,
597116,20250925,,,,,210,,,20,,2025-09-23,,,,,2025-09-25,,,,2,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.028154,
597117,20250925,,,,,179,,,70,,2025-09-23,,,,,2025-09-25,,,,2,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.040021,
597118,20250925,,,,232826,210,,,7,,2025-09-19,,,,,2025-09-25,,,,6,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.052421,
597119,20250925,,,,232808,179,,,2,,2025-09-17,,,,,2025-09-25,,,,8,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.077163,
597120,20250925,,,,232828,235,,,7,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.101147,
597121,20250925,,,,232828,110,,,3,,2025-09-21,,,,,2025-09-25,,,,4,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.14392,
597122,20250925,,,,,77,,,12,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.155629,
597123,20250925,,,,,203,,,3,,2025-09-23,,,,,2025-09-25,,,,2,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.188542,
597124,20250925,,,,,84,,,3,,2025-09-22,,,,,2025-09-25,,,,3,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.199857,
597125,20250925,,,,,216,,,3,,2025-09-21,,,,,2025-09-25,,,,4,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.217233,
597126,20250925,,,,,15,,,3,,2025-09-19,,,,,2025-09-25,,,,6,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.227609,
597127,20250925,,,,,11,,,3,,2025-09-17,,,,,2025-09-25,,,,8,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.237794,
597128,20250925,,,,,179,,,11,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.248311,
597129,20250925,,,,123746,157,,,6,,2025-09-24,,,,,2025-09-25,,,,1,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.249409,
597130,20250925,,,,232828,157,,,6,,2025-09-24,,,,,2025-09-25,,,,1,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.275836,
597131,20250925,,,,232828,179,,,30,,2025-09-24,,,,,2025-09-25,,,,1,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.277121,
597132,20250925,,,,232828,236,,,15,,2025-09-23,,,,,2025-09-25,,,,2,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.278069,
597133,20250925,,,,232828,77,,,3,,2025-09-22,,,,,2025-09-25,,,,3,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.288294,
597134,20250925,,,,232828,111,,,5,,2025-09-21,,,,,2025-09-25,,,,4,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.289282,
597135,20250925,,,,232828,32,,,7,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.299566,
597136,20250925,,,,232828,41,,,3,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.309929,
597137,20250925,,,,232828,102,,,6,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.339726,
597138,20250925,,,,232828,178,,,3,,2025-09-17,,,,,2025-09-25,,,,8,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.351839,
597139,20250925,,,,,236,,,15,,2025-09-22,,,,,2025-09-25,,,,3,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.36395,
597140,20250925,,,,,41,,,12,,2025-09-21,,,,,2025-09-25,,,,4,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.365001,
597141,20250925,,,,232826,216,,,9,,2025-09-19,,,,,2025-09-25,,,,6,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.366034,
597142,20250925,,,,123746,179,,,3,,2025-09-17,,,,,2025-09-25,,,,8,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.367009,
597143,20250925,,,,232828,101,,,3,,2025-09-23,,,,,2025-09-25,,,,2,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.367941,
597144,20250925,,,,232828,179,,,14,,2025-09-20,,,,,2025-09-25,,,,5,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.379629,
597145,20250925,,,,232828,236,,,6,,2025-09-19,,,,,2025-09-25,,,,6,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.380738,
597146,20250925,,,,,184,,,3,,2025-09-23,,,,,2025-09-25,,,,2,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.381797,
597147,20250925,,,,,210,,,7,,2025-09-20,,,,,2025-09-25,,,,5,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.396585,
597148,20250925,,,,,235,,,13,,2025-09-20,,,,,2025-09-25,,,,5,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.397631,
597149,20250925,,,,,179,,,16,,2025-09-20,,,,,2025-09-25,,,,5,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.398643,
597150,20250925,,,,,77,,,9,,2025-09-19,,,,,2025-09-25,,,,6,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.399579,
597151,20250925,,,,,236,,,21,,2025-09-17,,,,,2025-09-25,,,,8,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.400591,
