latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.785587,-25.662628,111.0,0,GMT,GMT

time,temperature_2m (°C),precipitation (mm),wind_speed_10m (km/h),relative_humidity_2m (%)
2025-09-09T00:00,16.9,0.00,4.5,79
2025-09-09T01:00,16.5,0.00,5.1,81
2025-09-09T02:00,16.1,0.00,4.9,82
2025-09-09T03:00,16.4,0.00,4.3,79
2025-09-09T04:00,16.2,0.00,5.1,77
2025-09-09T05:00,16.1,0.00,4.9,77
2025-09-09T06:00,15.9,0.00,4.4,76
2025-09-09T07:00,16.2,0.00,3.1,74
2025-09-09T08:00,16.9,0.00,2.9,73
2025-09-09T09:00,19.6,0.00,8.6,60
2025-09-09T10:00,20.8,0.00,12.1,54
2025-09-09T11:00,21.6,0.00,13.3,52
2025-09-09T12:00,22.0,0.00,13.0,53
2025-09-09T13:00,22.3,0.00,12.4,53
2025-09-09T14:00,22.5,0.00,12.8,55
2025-09-09T15:00,22.5,0.00,12.1,55
2025-09-09T16:00,22.5,0.00,12.0,55
2025-09-09T17:00,22.0,0.00,13.0,56
2025-09-09T18:00,21.8,0.00,11.7,54
2025-09-09T19:00,21.5,0.00,10.2,54
2025-09-09T20:00,20.5,0.00,5.6,59
2025-09-09T21:00,19.9,0.00,8.2,66
2025-09-09T22:00,19.4,0.00,8.0,71
2025-09-09T23:00,19.0,0.00,4.5,73
2025-09-10T00:00,18.5,0.00,2.4,76
2025-09-10T01:00,18.4,0.00,0.9,76
2025-09-10T02:00,18.0,0.00,3.5,78
2025-09-10T03:00,17.5,0.00,5.0,80
2025-09-10T04:00,18.1,0.00,5.4,78
2025-09-10T05:00,18.1,0.00,5.5,80
2025-09-10T06:00,18.0,0.00,5.9,81
2025-09-10T07:00,17.8,0.00,6.1,82
2025-09-10T08:00,18.4,0.00,5.2,81
2025-09-10T09:00,21.0,0.00,6.7,69
2025-09-10T10:00,22.3,0.00,10.3,60
2025-09-10T11:00,23.6,0.00,8.0,54
2025-09-10T12:00,24.1,0.00,6.4,53
2025-09-10T13:00,25.6,0.00,4.8,49
2025-09-10T14:00,25.3,0.00,9.5,54
2025-09-10T15:00,25.0,0.00,10.7,56
2025-09-10T16:00,24.6,0.00,11.9,58
2025-09-10T17:00,24.0,0.00,12.1,61
2025-09-10T18:00,23.0,0.00,13.8,65
2025-09-10T19:00,22.1,0.00,12.8,69
2025-09-10T20:00,21.4,0.00,9.4,71
2025-09-10T21:00,20.5,0.00,4.5,77
2025-09-10T22:00,19.6,0.00,3.4,84
2025-09-10T23:00,19.6,0.00,2.3,86
2025-09-11T00:00,19.4,0.00,1.1,88
2025-09-11T01:00,18.8,0.00,3.1,93
2025-09-11T02:00,18.9,0.00,3.1,93
2025-09-11T03:00,18.6,0.00,3.2,93
2025-09-11T04:00,18.5,0.00,3.8,94
2025-09-11T05:00,18.6,0.00,2.4,93
2025-09-11T06:00,18.8,0.00,2.3,94
2025-09-11T07:00,19.1,0.00,2.3,94
2025-09-11T08:00,19.9,0.00,3.2,93
2025-09-11T09:00,21.0,0.00,6.7,88
2025-09-11T10:00,21.5,0.20,7.6,86
2025-09-11T11:00,21.5,0.60,7.6,88
2025-09-11T12:00,21.5,1.10,6.5,91
2025-09-11T13:00,23.9,0.90,7.4,73
2025-09-11T14:00,24.3,0.60,5.6,76
2025-09-11T15:00,24.5,0.30,6.7,73
2025-09-11T16:00,24.2,0.70,9.0,75
2025-09-11T17:00,23.1,1.30,10.0,78
2025-09-11T18:00,22.4,1.00,9.7,85
2025-09-11T19:00,22.0,0.00,6.5,86
2025-09-11T20:00,21.0,0.00,5.0,91
2025-09-11T21:00,20.4,0.00,5.3,95
2025-09-11T22:00,20.1,0.00,3.6,96
2025-09-11T23:00,19.5,0.00,2.4,97
2025-09-12T00:00,19.2,0.00,1.5,97
2025-09-12T01:00,18.7,0.00,1.5,98
2025-09-12T02:00,18.4,0.00,2.4,99
2025-09-12T03:00,18.4,0.00,2.2,99
2025-09-12T04:00,18.2,0.00,2.3,99
2025-09-12T05:00,18.0,0.00,1.0,99
2025-09-12T06:00,17.6,0.00,0.6,99
2025-09-12T07:00,17.2,0.00,1.8,99
2025-09-12T08:00,17.6,0.00,3.1,99
2025-09-12T09:00,19.2,0.00,4.5,99
2025-09-12T10:00,21.4,0.00,4.8,87
2025-09-12T11:00,22.6,0.00,5.5,77
2025-09-12T12:00,23.5,0.10,3.0,72
2025-09-12T13:00,24.2,0.00,3.2,68
2025-09-12T14:00,24.2,0.10,4.9,69
2025-09-12T15:00,24.1,0.30,5.9,70
2025-09-12T16:00,24.0,0.10,8.8,69
2025-09-12T17:00,24.0,0.00,8.0,67
2025-09-12T18:00,23.5,0.00,7.7,67
2025-09-12T19:00,22.6,0.00,7.2,72
2025-09-12T20:00,21.1,0.00,5.8,81
2025-09-12T21:00,20.3,0.00,4.7,87
2025-09-12T22:00,19.5,0.00,2.9,91
2025-09-12T23:00,19.4,0.00,0.8,90
2025-09-13T00:00,19.0,0.00,0.0,91
2025-09-13T01:00,18.5,0.00,0.2,93
2025-09-13T02:00,18.3,0.00,0.4,94
2025-09-13T03:00,17.9,0.00,0.7,97
2025-09-13T04:00,17.4,0.00,0.8,99
2025-09-13T05:00,17.2,0.00,0.6,98
2025-09-13T06:00,17.0,0.00,0.4,99
2025-09-13T07:00,16.8,0.00,0.5,98
2025-09-13T08:00,17.4,0.00,0.8,98
2025-09-13T09:00,19.4,0.00,1.2,95
2025-09-13T10:00,21.5,0.00,3.2,81
2025-09-13T11:00,22.6,0.00,5.9,74
2025-09-13T12:00,23.7,0.00,8.7,67
2025-09-13T13:00,23.9,0.00,10.3,70
2025-09-13T14:00,23.9,0.00,9.9,69
2025-09-13T15:00,23.8,0.10,8.9,69
2025-09-13T16:00,23.5,0.20,8.9,71
2025-09-13T17:00,23.3,0.30,9.0,72
2025-09-13T18:00,22.9,0.20,9.0,73
2025-09-13T19:00,22.1,0.10,8.1,77
2025-09-13T20:00,21.3,0.00,5.8,82
2025-09-13T21:00,20.7,0.00,4.5,87
2025-09-13T22:00,20.0,0.00,3.7,91
2025-09-13T23:00,19.5,0.00,3.6,93
2025-09-14T00:00,19.0,0.00,3.7,95
2025-09-14T01:00,19.5,0.00,3.6,91
2025-09-14T02:00,19.1,0.00,4.1,94
2025-09-14T03:00,18.9,0.00,3.6,96
2025-09-14T04:00,18.5,0.00,2.6,97
2025-09-14T05:00,18.4,0.00,2.3,98
2025-09-14T06:00,18.2,0.00,2.4,98
2025-09-14T07:00,18.3,0.00,1.3,98
2025-09-14T08:00,18.6,0.00,1.1,98
2025-09-14T09:00,20.5,0.00,2.3,91
2025-09-14T10:00,22.2,0.10,6.1,78
2025-09-14T11:00,23.5,0.10,6.4,68
2025-09-14T12:00,24.4,0.10,6.5,62
2025-09-14T13:00,25.3,0.00,8.1,57
2025-09-14T14:00,25.7,0.00,8.5,55
2025-09-14T15:00,25.8,0.00,9.3,55
2025-09-14T16:00,25.6,0.00,10.1,56
2025-09-14T17:00,25.0,0.00,11.1,61
2025-09-14T18:00,24.0,0.10,11.7,67
2025-09-14T19:00,23.0,0.00,9.3,74
2025-09-14T20:00,21.6,0.00,6.5,83
2025-09-14T21:00,20.5,0.00,3.5,91
2025-09-14T22:00,19.8,0.00,2.8,94
2025-09-14T23:00,19.5,0.00,1.3,94
2025-09-15T00:00,19.1,0.00,0.9,95
2025-09-15T01:00,19.0,0.00,0.6,97
2025-09-15T02:00,18.6,0.00,0.6,98
2025-09-15T03:00,18.0,0.00,1.1,99
2025-09-15T04:00,17.8,0.00,1.5,99
2025-09-15T05:00,17.2,0.00,1.5,99
2025-09-15T06:00,17.0,0.00,1.7,99
2025-09-15T07:00,16.8,0.00,1.5,98
2025-09-15T08:00,16.8,0.00,2.8,97
2025-09-15T09:00,18.9,0.00,2.7,94
2025-09-15T10:00,21.8,0.00,5.4,75
2025-09-15T11:00,23.0,0.00,7.1,70
2025-09-15T12:00,23.9,0.00,8.0,67
2025-09-15T13:00,24.5,0.10,9.6,65
2025-09-15T14:00,24.2,0.40,7.8,67
2025-09-15T15:00,24.4,0.20,7.9,66
2025-09-15T16:00,23.8,0.20,9.4,70
2025-09-15T17:00,23.4,0.10,9.0,72
2025-09-15T18:00,23.1,0.20,7.3,74
2025-09-15T19:00,22.4,0.10,5.4,78
2025-09-15T20:00,21.3,0.00,4.7,84
2025-09-15T21:00,20.5,0.00,3.8,89
2025-09-15T22:00,20.0,0.00,4.2,92
2025-09-15T23:00,19.6,0.00,4.7,92
2025-09-16T00:00,19.5,0.00,5.2,92
2025-09-16T01:00,19.5,0.00,5.1,92
2025-09-16T02:00,19.2,0.00,5.3,92
2025-09-16T03:00,19.0,0.00,5.4,92
2025-09-16T04:00,18.6,0.00,5.2,92
2025-09-16T05:00,18.3,0.00,5.2,92
2025-09-16T06:00,18.1,0.00,5.2,92
2025-09-16T07:00,18.0,0.00,5.3,92
2025-09-16T08:00,18.8,0.00,5.7,91
2025-09-16T09:00,21.2,0.00,10.5,80
2025-09-16T10:00,22.2,0.00,13.0,74
2025-09-16T11:00,23.0,0.00,14.2,69
2025-09-16T12:00,23.6,0.00,14.6,66
