movement_date,weather_hourly_records,weather_temperature_2m_mean,weather_temperature_2m_min,weather_temperature_2m_max,weather_precipitation_sum,weather_wind_speed_10m_mean,weather_wind_speed_10m_max,weather_relative_humidity_2m_mean,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2025-09-09,24,19.379166666666666,15.9,22.5,0.0,8.195833333333333,13.3,65.33333333333333,37.785587,-25.662628,111.0,0,GMT,GMT
2025-09-10,24,21.020833333333332,17.5,25.6,0.0,6.9375,13.8,69.91666666666667,37.785587,-25.662628,111.0,0,GMT,GMT
2025-09-11,24,20.895833333333332,18.5,24.5,6.7,5.170833333333333,10.0,88.04166666666667,37.785587,-25.662628,111.0,0,GMT,GMT
2025-09-12,24,20.704166666666666,17.2,24.2,0.6,3.920833333333334,8.8,85.58333333333333,37.785587,-25.662628,111.0,0,GMT,GMT
2025-09-13,24,20.483333333333334,16.8,23.9,0.9,4.379166666666667,10.3,84.91666666666667,37.785587,-25.662628,111.0,0,GMT,GMT
2025-09-14,24,21.454166666666666,18.2,25.8,0.4,5.341666666666666,11.7,81.29166666666667,37.785587,-25.662628,111.0,0,GMT,GMT
2025-09-15,24,20.629166666666666,16.8,24.5,1.3,4.55,9.6,84.83333333333333,37.785587,-25.662628,111.0,0,GMT,GMT
2025-09-16,24,21.458333333333332,18.0,24.6,0.0,11.441666666666668,18.9,77.25,37.785587,-25.662628,111.0,0,GMT,GMT
2025-09-17,24,22.099999999999998,20.7,24.0,4.8,18.995833333333334,25.5,77.79166666666667,37.785587,-25.662628,111.0,0,GMT,GMT
2025-09-18,24,22.666666666666668,19.6,24.6,4.9,17.308333333333334,24.5,78.33333333333333,37.785587,-25.662628,111.0,0,GMT,GMT
2025-09-19,24,19.195833333333333,17.8,20.8,19.2,19.620833333333334,26.3,76.33333333333333,37.785587,-25.662628,111.0,0,GMT,GMT
2025-09-20,24,18.591666666666665,16.7,20.8,0.0,14.424999999999999,20.5,60.0,37.785587,-25.662628,111.0,0,GMT,GMT
