iter	Passed	Remaining
0	10	3239
1	24	3582
2	58	5823
3	75	5591
4	94	5598
5	112	5522
6	129	5440
7	148	5432
8	166	5397
9	182	5294
10	197	5192
11	212	5096
12	230	5078
13	246	5033
14	273	5200
15	299	5307
16	319	5322
17	342	5359
18	368	5445
19	388	5438
20	413	5495
21	431	5446
22	448	5398
23	464	5343
24	481	5294
25	498	5257
26	516	5225
27	549	5336
28	568	5309
29	585	5265
30	603	5237
31	619	5186
32	634	5137
33	647	5064
34	659	4992
35	675	4950
36	701	4986
37	718	4951
38	730	4886
39	748	4868
40	767	4849
41	787	4837
42	817	4887
43	848	4937
44	873	4950
45	925	5108
46	953	5135
47	1037	5448
48	1060	5430
49	1097	5485
50	1151	5623
51	1197	5709
52	1272	5931
53	1324	6032
54	1440	6418
55	1460	6361
56	1484	6329
57	1504	6276
58	1521	6214
59	1546	6184
60	1579	6187
61	1600	6143
62	1633	6143
63	1651	6091
64	1668	6031
65	1685	5974
66	1702	5919
67	1718	5861
68	1736	5812
69	1795	5899
70	1835	5918
71	1923	6090
72	1941	6038
73	1972	6025
